Treatment;ClutchN;Age;Stage;comst;groupst;DecimaClocklHours;AccumshakingtimeRup1Fra;AccumShakingR1sec;NumPosChanADBefore2ndHole;AccumADshakingR;AccumshakingtimeRup2Fra;AccumShakingR2sec;DisEndRup2Fr;DisEndHatchingStartFr;CompDurFr;CompressionSec;CompressionSeen;EXITDURATIONFr;EXIT DURATION StarttoFullyOutsec;NumHoles;FirstSecondHoleExit;Rescue;;
Flooding;100;4;6;6-7;;10,47;197;6,57;3;;725;24,17;2425;2425;;;0;2;;2;Second;0;;
Flooding;170;4;5;4-5;4-7;15,05;863;28,77;0;;125;4,17;1049;1049;1003;33,43;1;961;32,03333333;2;Second;0;;
Flooding;167;4;5;4-5;4-7;17,10;313;10,43;1;;112;3,73;1765;1765;;;0;640;21,33333333;2;Second;0;;
Flooding;404;4;5;4-5;4-7;23,77;3;0,10;3;;250;8,33;19098;19098;;;0;8;0,266666667;2;Second;0;;
Flooding;408;4;4;4-5;4-7;23,92;98;3,27;1;;1116;37,20;2247;2247;1;0,03;1;8;0,266666667;2;Second;0;;
Jiggling;272;4;5;4-5;4-7;10,48;249;8,30;0;;415;13,83;1314;1314;1;0,03;1;224;7,466666667;2;Second;0;;
Jiggling;272;4;5;4-5;4-7;10,70;314;10,47;0;;376;12,53;382;382;;;0;265;8,833333333;2;Second;0;;
Jiggling;272;4;5;4-5;;10,75;294;9,80;1;;1297;43,23;1564;1564;;;0;;;2;Second;0;;
Jiggling;264;4;6;6-7;;11,17;460;15,33;0;;453;15,10;475;815;;;0;;;2;Second;0;;
Jiggling;272;4;5;4-5;;10,90;136;4,53;0;;298;9,93;308;308;;;0;;;2;Second;0;;
Jiggling;299;4;5;4-5;4-7;11,07;134;4,47;1;;876;29,20;417;417;;;0;938;31,26666667;2;Second;0;;
Jiggling;299;4;4;4-5;4-7;11,42;150;5,00;1;;251;8,37;126;126;33;1,10;1;669;22,3;2;Second;0;;
Jiggling;239;4;6;6-7;4-7;11,82;609;20,30;1;;647;21,57;700;700;;;0;963;32,1;2;Second;0;;
Jiggling;259;4;6;6-7;;13,57;0;0,00;5;;0;0,00;613;613;;;0;;;2;Second;0;;
Jiggling;259;4;6;6-7;4-7;14,22;193;6,43;0;;206;6,87;229;220;;;0;326;10,86666667;2;Second;0;;
Jiggling;259;4;6;6-7;4-7;14,97;0;0,00;1;;565;18,83;958;958;;;0;777;25,9;2;Second;0;;
Jiggling;273;4;6;6-7;4-7;15,90;599;19,97;0;;0;0,00;385;385;;;0;1004;33,46666667;2;Second;0;;
Jiggling;298;4;5;4-5;;16,18;337;11,23;6;;748;24,93;2075;2075;;;0;;;2;Second;0;;
Jiggling;298;4;5;4-5;4-7;16,22;207;6,90;1;;265;8,83;368;368;;;0;514;17,13333333;2;Second;0;;
Jiggling;274;4;5;4-5;;17,05;235;7,83;2;;0;0,00;1271;1271;;;0;;;2;Second;0;;
Jiggling;297;4;5;4-5;;17,15;182;6,07;0;;470;15,67;1931;1931;;;0;;;2;Second;0;;
Jiggling;274;4;5;4-5;4-7;17,20;206;6,87;0;;537;17,90;571;571;1;0,03;1;61;2,033333333;2;Second;0;;
Jiggling;61;4;6;6-7;;17,53;280;9,33;0;;199;6,63;1183;1183;;;0;;;2;Second;0;;
Jiggling;61;4;6;6-7;4-7;17,67;253;8,43;0;;321;10,70;312;334;;;0;318;10,6;2;Second;0;;
Jiggling;321;4;6;6-7;;17,73;144;4,80;0;;450;15,00;461;461;;;0;;;2;Second;0;;
Jiggling;294;4;6;6-7;;18,03;795;26,50;4;;271;9,03;1132;1132;;;0;;;2;Second;0;;
Jiggling;275;4;6;6-7;;18,12;200;6,67;0;;333;11,10;364;364;;;0;;;2;Second;0;;
Jiggling;275;4;6;6-7;;18,20;196;6,53;0;;633;21,10;676;676;;;0;;;2;Second;0;;
Jiggling;275;4;6;6-7;4-7;18,45;180;6,00;1;;515;17,17;421;421;;;0;156;5,2;2;Second;0;;
Jiggling;275;4;6;6-7;4-7;18,47;0;0,00;0;;0;0,00;358;423;9;0,30;1;;;2;Second;0;;
Jiggling;275;4;6;6-7;4-7;18,53;148;4,93;0;;338;11,27;305;305;5;0,17;1;190;6,333333333;2;Second;0;;
Jiggling;275;4;7;6-7;4-7;18,58;227;7,57;3;;115;3,83;804;1230;;;0;104;3,466666667;2;Second;0;;
Jiggling;244;4;6;6-7;4-7;24,02;690;23,00;0;;542;18,07;567;567;;;0;379;12,63333333;2;Second;0;;
Jiggling;296;4;5;4-5;;24,22;116;3,87;7;;228;7,60;1121;1121;;;0;;;2;Second;0;;
Jiggling;255;4;5;4-5;4-7;24,23;581;19,37;0;;322;10,73;299;299;;;0;841;28,03333333;2;Second;0;;
Jiggling;255;4;5;4-5;;24,27;212;7,07;1;;710;23,67;1202;1202;;;0;;;2;Second;0;;
Jiggling;255;4;5;4-5;4-7;24,28;276;9,20;0;;704;23,47;731;731;;;0;5;0,166666667;2;Second;0;;
Jiggling;268;4;6;6-7;4-7;24,33;427;14,23;0;;351;11,70;355;355;3;0,10;1;17;0,566666667;2;Second;0;;
Jiggling;245;4;5;4-5;4-7;24,33;693;23,10;0;;236;7,87;233;233;;;0;8;0,266666667;2;Second;0;;
Jiggling;245;4;5;4-5;4-7;24,55;511;17,03;0;;37;1,23;812;812;;;0;3427;114,2333333;2;Second;0;;
Jiggling;39;5;7;6-7;4-7;9,22;267;8,90;0;;291;9,70;459;459;;;0;3;0,1;2;Second;0;;
Jiggling;38;5;7;6-7;4-7;9,43;120;4,00;0;;281;9,37;286;286;;;0;3;0,1;2;Second;0;;
Jiggling;33;5;7;6-7;4-7;9,72;204;6,80;0;;67;2,23;243;243;;;0;66;2,2;2;Second;0;;
Jiggling;37;5;7;6-7;4-7;9,88;75;2,50;3;;284;9,47;328;439;;;0;3;0,1;2;Second;0;;
Jiggling;113;5;7;6-7;4-7;10,00;103;3,43;0;;251;8,37;257;448;;;0;1330;44,33333333;2;Second;0;;
Jiggling;113;5;7;6-7;;10,27;217;7,23;0;;183;6,10;319;320;;;0;;;2;Second;0;;
Jiggling;155;5;7;6-7;;10,35;258;8,60;0;;633;21,10;185;637;;;0;;;2;Second;0;;
Jiggling;113;5;7;6-7;4-7;10,38;318;10,60;0;;238;7,93;170;234;;;0;759;25,3;2;Second;0;;
Jiggling;115;5;7;6-7;;10,52;276;9,20;1;;389;12,97;343;420;;;0;;;2;Second;0;;
Jiggling;115;5;7;6-7;4-7;10,58;104;3,47;1;;381;12,70;502;517;;;0;2674;89,13333333;2;Second;0;;
Jiggling;159;5;7;6-7;4-7;10,65;430;14,33;0;;675;22,50;683;683;;;0;7;0,233333333;2;Second;0;;
Jiggling;136;5;7;6-7;;10,67;97;3,23;0;;227;7,57;314;321;;;0;;;2;Second;0;;
Jiggling;34;5;7;6-7;4-7;10,82;169;5,63;0;;164;5,47;183;185;;;0;13;0,433333333;2;Second;0;;
Jiggling;161;5;7;6-7;;11,05;107;3,57;0;;468;15,60;261;446;;;0;;;2;Second;0;;
